Concurrency,Transactions,Availability,ElapsedTime,DataTransferred,ResponseTime,TransactionRate,Throughput,SuccessfulTransactions,FailedTransactions,LongestTransaction,ShortestTransaction
10,17561,99.90,60.70,618.61,0.03,289.31,10.19,16574,18,29.86,0.00
20,36785,99.75,60.28,1301.72,0.03,610.24,21.59,34724,92,0.69,0.00
30,50683,99.72,60.42,1791.68,0.03,838.84,29.65,47841,143,29.74,0.00
40,67961,99.67,60.75,2405.73,0.03,1118.70,39.60,64151,225,29.99,0.00
50,78566,99.55,60.76,2788.42,0.04,1293.05,45.89,74181,356,29.73,0.00
75,100071,99.28,60.09,3566.39,0.04,1665.35,59.35,94532,725,29.97,0.00
